Category,Title,Description,TrendLink,Ranking,ScrapeID,TS,Source
Top Trends,Brooklyn Nine-Nine,Brooklyn Nine-Nine saved after outcry,https://www.facebook.com/topic/Brooklyn-Nine-Nine/505390409540531?source=whrt&position=5&trqid=6554786519617516220&impressionguid=0O4wr9pgeFewTpGKj,5,0,5/12/2018 14:59,bbc.com
Top Trends,Hawaii,Trump declares a major disaster in Hawaii after volcanic eruptions and lava,https://www.facebook.com/topic/Hawaii/108131545882056?source=whfrt&position=3&trqid=6554786511234029649&impressionguid=0O4wr9pgeFewTpGKj,3,0,5/12/2018 14:59,cnn.com
Top Trends,Israel–Gaza Barrier,Israel closes Gaza border crossing damaged by Palestinians,https://www.facebook.com/topic/IsraelGaza-Barrier/143286939022003?source=whrt&position=6&trqid=6554786519617516220&impressionguid=0O4wr9pgeFewTpGKj,6,0,5/12/2018 14:59,reuters.com
Top Trends,Joe Donnelly,Donnelly announces support for Trump's CIA pick Gina Haspel,https://www.facebook.com/topic/Joe-Donnelly/107799802575988?source=whfrt&position=2&trqid=6554786511234029649&impressionguid=0O4wr9pgeFewTpGKj,2,0,5/12/2018 14:59,thehill.com
Top Trends,Narendra Modi,Polls suggest Modi's BJP may be leading party in India's Karnataka,https://www.facebook.com/topic/Narendra-Modi/108606272497562?source=whrt&position=9&trqid=6554786519617516220&impressionguid=0O4wr9pgeFewTpGKj,9,0,5/12/2018 14:59,reuters.com
Top Trends,Nawaz Sharif,Ex-Pakistan PM Nawaz Sharif admits his nation could have prevented 26/11 Mumbai attacks,https://www.facebook.com/topic/Nawaz-Sharif/1469808086567736?source=whrt&position=4&trqid=6554786519617516220&impressionguid=0O4wr9pgeFewTpGKj,4,0,5/12/2018 14:59,in.news.yahoo.com
Top Trends,North American Aerospace Defense Command,US Air Force jets intercept 2 Russian bombers off Alaska coast,https://www.facebook.com/topic/North-American-Aerospace-Defense-Command/135415036493357?source=whrt&position=10&trqid=6554786519617516220&impressionguid=0O4wr9pgeFewTpGKj,10,0,5/12/2018 14:59,foxnews.com
Top Trends,"Oakland, California",White woman calls police on black family during barbecuing for “trespassing”,https://www.facebook.com/topic/Oakland-California/108363292521622?source=whrt&position=7&trqid=6554786519617516220&impressionguid=0O4wr9pgeFewTpGKj,7,0,5/12/2018 14:59,salon.com
Top Trends,Rose Acre Farms,"Salmonella Outbreak, Eggs, And Rose Acre Farms: What You Need To Know",https://www.facebook.com/topic/Rose-Acre-Farms/103125019727168?source=whrt&position=8&trqid=6554786519617516220&impressionguid=0O4wr9pgeFewTpGKj,8,0,5/12/2018 14:59,forbes.com
Top Trends,Rudy Giuliani,Rudy Giuliani says Trump 'denied' AT&T merger,https://www.facebook.com/topic/Rudy-Giuliani/105619959472103?source=whfrt&position=1&trqid=6554786511234029649&impressionguid=0O4wr9pgeFewTpGKj,1,0,5/12/2018 14:59,msn.com
